"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-May-2025","EQ","7,305.00","7,320.50","6,895.00","7,305.00","7,015.00","6,996.50","7,031.02","7,588.00","2,115.00","50,26,831","35,34,37,68,903.00","3,65,508"
"21-May-2025","EQ","7,400.00","7,470.00","7,200.50","7,385.50","7,314.50","7,305.00","7,335.75","7,588.00","2,115.00","27,77,717","20,37,66,34,245.00","2,08,799"
"20-May-2025","EQ","7,533.00","7,588.00","7,362.00","7,459.00","7,400.00","7,385.50","7,485.46","7,588.00","2,115.00","32,76,806","24,52,83,91,098.00","2,20,254"
"19-May-2025","EQ","7,315.00","7,475.00","7,282.00","7,279.00","7,475.00","7,459.00","7,399.05","7,475.00","2,115.00","22,59,945","16,72,14,35,870.50","1,75,142"
"16-May-2025","EQ","7,200.00","7,315.00","7,191.50","7,148.00","7,285.00","7,279.00","7,271.56","7,422.50","2,115.00","18,13,304","13,18,55,49,998.50","1,33,540"
"15-May-2025","EQ","7,352.00","7,352.00","7,111.50","7,347.00","7,150.00","7,148.00","7,190.09","7,422.50","2,115.00","33,60,057","24,15,91,27,138.00","2,35,642"
"14-May-2025","EQ","7,352.00","7,422.50","7,251.50","7,315.50","7,357.00","7,347.00","7,331.18","7,422.50","2,115.00","31,48,265","23,08,04,82,384.50","2,28,355"
"13-May-2025","EQ","7,000.00","7,346.00","6,981.50","6,955.50","7,305.00","7,315.50","7,202.68","7,346.00","2,115.00","53,85,278","38,78,84,39,522.50","3,35,132"
"12-May-2025","EQ","6,900.00","7,047.00","6,865.00","6,572.00","6,965.00","6,955.50","6,959.68","7,047.00","2,115.00","39,61,228","27,56,88,90,713.50","2,46,007"
"09-May-2025","EQ","6,500.00","6,650.00","6,482.00","6,690.00","6,600.00","6,572.00","6,549.33","6,894.00","2,115.00","35,19,848","23,05,26,52,709.50","2,31,410"
"08-May-2025","EQ","6,729.00","6,894.00","6,631.00","6,652.50","6,644.50","6,690.00","6,809.11","6,894.00","2,115.00","52,71,948","35,89,72,74,081.50","3,55,026"
"07-May-2025","EQ","6,370.00","6,847.50","6,352.50","6,245.00","6,670.00","6,652.50","6,685.49","6,847.50","2,115.00","1,08,72,465","72,68,77,53,194.00","6,70,982"
"06-May-2025","EQ","6,475.00","6,529.50","6,220.00","6,453.50","6,250.00","6,245.00","6,383.78","6,808.00","2,115.00","25,11,339","16,03,18,41,546.50","1,89,834"
"05-May-2025","EQ","6,350.00","6,477.50","6,270.00","6,306.50","6,465.00","6,453.50","6,384.25","6,808.00","2,115.00","21,98,212","14,03,39,35,713.50","1,62,634"
"02-May-2025","EQ","6,361.00","6,509.00","6,286.00","6,359.00","6,315.00","6,306.50","6,379.71","6,808.00","2,115.00","25,67,773","16,38,16,43,300.00","1,81,499"
"30-Apr-2025","EQ","6,670.00","6,670.00","6,322.50","6,641.50","6,339.50","6,359.00","6,445.02","6,808.00","2,115.00","24,62,279","15,86,94,33,699.50","2,16,669"
"29-Apr-2025","EQ","6,601.00","6,808.00","6,561.50","6,564.50","6,660.00","6,641.50","6,700.51","6,808.00","2,115.00","36,80,234","24,65,94,55,023.00","2,61,940"
"28-Apr-2025","EQ","6,300.00","6,597.50","6,272.00","6,303.50","6,540.00","6,564.50","6,466.75","6,597.50","2,115.00","29,07,978","18,80,51,67,607.00","2,02,587"
"25-Apr-2025","EQ","6,525.00","6,595.00","6,172.50","6,493.50","6,296.00","6,303.50","6,349.41","6,595.00","2,115.00","42,81,653","27,18,59,73,280.50","3,08,436"
"24-Apr-2025","EQ","6,450.00","6,564.00","6,420.00","6,439.00","6,485.00","6,493.50","6,508.28","6,564.00","2,115.00","27,68,070","18,01,53,69,655.50","1,83,398"
"23-Apr-2025","EQ","6,299.00","6,459.00","6,225.00","6,241.50","6,446.00","6,439.00","6,362.60","6,459.00","2,115.00","36,71,456","23,36,00,02,026.00","2,51,491"
"22-Apr-2025","EQ","6,348.00","6,408.00","6,225.00","6,285.00","6,239.00","6,241.50","6,317.22","6,408.00","2,115.00","33,64,800","21,25,61,79,287.50","2,23,921"
"21-Apr-2025","EQ","5,981.00","6,313.00","5,970.00","5,931.00","6,304.00","6,285.00","6,181.02","6,313.00","2,115.00","40,85,227","25,25,08,66,243.00","2,65,158"
"17-Apr-2025","EQ","5,909.00","6,040.00","5,865.50","5,930.50","5,931.00","5,931.00","5,941.59","6,133.40","2,115.00","25,84,490","15,35,59,79,473.50","1,65,628"
"16-Apr-2025","EQ","5,987.00","5,998.00","5,860.00","5,958.00","5,927.00","5,930.50","5,926.02","6,133.40","2,115.00","22,21,360","13,16,38,15,262.00","1,60,469"
"15-Apr-2025","EQ","5,751.00","5,975.00","5,721.00","5,644.75","5,964.00","5,958.00","5,890.00","6,133.40","2,115.00","26,38,031","15,53,79,89,980.00","1,88,420"
"11-Apr-2025","EQ","5,697.40","5,724.00","5,582.00","5,548.35","5,639.10","5,644.75","5,653.46","6,133.40","2,115.00","26,43,655","14,94,57,88,332.35","1,69,984"
"09-Apr-2025","EQ","5,500.20","5,610.00","5,407.60","5,538.20","5,546.00","5,548.35","5,518.14","6,133.40","2,115.00","31,61,970","17,44,82,02,135.95","1,98,493"
"08-Apr-2025","EQ","5,400.00","5,558.85","5,352.55","5,182.45","5,500.20","5,538.20","5,448.77","6,133.40","2,115.00","34,74,022","18,92,91,44,395.45","2,38,670"
"07-Apr-2025","EQ","5,000.05","5,250.00","4,978.35","5,517.45","5,227.00","5,182.45","5,117.53","6,133.40","2,115.00","42,14,367","21,56,71,37,616.50","2,74,433"
"04-Apr-2025","EQ","5,623.45","5,659.65","5,462.80","5,620.85","5,524.95","5,517.45","5,548.44","6,133.40","2,115.00","38,01,665","21,09,33,15,400.35","2,38,856"
"03-Apr-2025","EQ","5,576.00","5,787.20","5,561.50","5,654.85","5,620.00","5,620.85","5,656.54","6,133.40","2,115.00","45,00,120","25,45,50,96,168.50","2,76,702"
"02-Apr-2025","EQ","5,469.00","5,680.00","5,430.00","5,466.00","5,662.00","5,654.85","5,584.92","6,133.40","2,115.00","48,53,044","27,10,38,55,735.70","2,99,118"
"01-Apr-2025","EQ","5,544.00","5,575.50","5,430.00","5,479.80","5,468.00","5,466.00","5,489.85","6,133.40","2,115.00","46,49,115","25,52,29,36,301.90","2,80,365"
